time,closing
2014-12-16,534.15
2014-12-17,533.06
2014-12-18,527.52
2014-12-19,535.51
2014-12-22,536.78
2014-12-23,534.65
2014-12-24,536.89
2014-12-26,535.17
2014-12-29,539.22
2014-12-30,542.97
2015-01-02,553.73
2015-01-05,561.25
2015-01-06,558.9
2015-01-07,561.32
2015-01-08,566.43
2015-01-09,572.99
2015-01-12,574.76
2015-01-13,571
2015-01-14,574.17
2015-01-15,581.39
2015-01-16,577.41
2015-01-19,577.94
2015-01-20,582.27
2015-01-21,584.34
2015-01-22,578.42
2015-01-23,589.31
2015-01-26,590.34
2015-01-27,587.84
2015-01-28,594.39
2015-01-29,593.12
2015-01-30,591.58
2015-02-02,590.27
2015-02-03,593.31
2015-02-04,598.23
2015-02-05,600.81
2015-02-06,604.13
2015-02-09,593.75
2015-02-10,592.95
2015-02-11,601.41
2015-02-12,602.24
2015-02-13,608.07
2015-02-16,610.16
2015-02-17,609.1
2015-02-23,615.52
2015-02-24,621.31
2015-02-25,616.57
2015-02-26,617.08
2015-02-27,624.56
2015-03-02,621.81
2015-03-03,625.64
2015-03-04,630.35
2015-03-05,631.43
2015-03-06,635.84
2015-03-09,629.26
2015-03-10,621.99
2015-03-11,619.61
2015-03-12,628.15
2015-03-13,634.25
2015-03-16,635.4
2015-03-17,636.05
2015-03-18,628.99
2015-03-19,631.81
2015-03-20,640.08
2015-03-23,640.29
2015-03-24,641.87
2015-03-25,651.05
2015-03-26,642.53
2015-03-27,640.12
2015-03-30,646.74
2015-03-31,650.49
2015-04-01,650.23
2015-04-02,650.57
2015-04-03,658.04
2015-04-06,662.15
2015-04-07,666.83
2015-04-08,668.03
2015-04-09,676.96
2015-04-10,682.02
2015-04-13,689.39
2015-04-14,684.97
2015-04-15,694.44
2015-04-16,698.31
2015-04-17,706.9
2015-04-20,706.96
2015-04-21,714.52
2015-04-22,703.34
2015-04-23,692.48
2015-04-24,690.74
2015-04-27,699.39
2015-04-28,696.79
2015-04-29,695.69
2015-04-30,689.01
2015-05-04,677.9
2015-05-06,665.94
2015-05-07,673.08
2015-05-08,681.69
2015-05-11,692.29
2015-05-12,686.74
2015-05-13,692.23
2015-05-14,699.27
2015-05-15,705.4
2015-05-18,703.25
2015-05-19,706.79
2015-05-20,713.95
2015-05-21,715.64
2015-05-22,713.54
2015-05-26,708.66
2015-05-27,699.19
2015-05-28,709.01
2015-05-29,711.39
2015-06-01,715.73
2015-06-02,704.77
2015-06-03,696.97
2015-06-04,704.56
2015-06-05,707.27
2015-06-08,716.43
2015-06-09,722.51
2015-06-10,718.23
2015-06-11,717
2015-06-12,712.4
2015-06-15,705.85
2015-06-16,706.28
2015-06-17,718.61
2015-06-18,725.2
2015-06-19,729.92
2015-06-22,734.61
2015-06-23,739.82
2015-06-24,746.62
2015-06-25,753.66
2015-06-26,750.5
2015-06-29,733.04
2015-06-30,742.27
2015-07-01,760.67
2015-07-02,768.67
2015-07-03,769.26
2015-07-06,752.01
2015-07-07,729.64
2015-07-08,726.22
2015-07-09,726.01
2015-07-10,730.72
2015-07-13,749.46
2015-07-14,757.12
2015-07-15,761.59
2015-07-16,774.4
2015-07-17,773.23
2015-07-20,782.64
2015-07-21,781.99
2015-07-22,776.57
2015-07-23,776.99
2015-07-24,776.26
2015-07-27,751.04
2015-07-28,745.24
2015-07-29,730.47
2015-07-30,712.86
2015-07-31,725.06
2015-08-03,714.34
2015-08-04,730.03
2015-08-05,741.26
2015-08-06,747.74
2015-08-07,751.49
2015-08-10,746.34
2015-08-11,732.26
2015-08-12,717.2
2015-08-13,731.36
2015-08-17,722.01
2015-08-18,699.8
2015-08-19,670.55
2015-08-20,656.71
2015-08-21,627.05
